metric,method,value,unit,data,variables,location,forest,details,year,title
r^2,rf,0.7804,,alos,"backscatter,polar","Uttarakhand, India",evergreen forests,,2024,Forest Aboveground Biomass and Forest Height Estimation Over a Sub‐tropical Forest Using Machine Learning Algorithm and Synthetic Aperture Radar Data
r^2,rf,0.91,,gedi,"canopy,topo","Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
rmse,rf,20.1,mg/ha,gedi,"canopy,topo","Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
r^2,rf,0.61,,alos,backscatter,"Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
rmse,rf,18.27,mg/ha,alos,backscatter,"Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
r^2,rf,0.77,,"alos,gedi","canopy,topo,backscatter","Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
rmse,rf,13.86,mg/ha,"alos,gedi","canopy,topo,backscatter","Uttarakhand state, India",plantation forests,,2023,"Modelling aboveground biomass of a multistage managed forest through synergistic use of Landsat-OLI, ALOS-2 L-band SAR and GEDI metrics"
r^2,rf,0.62,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
rmse,rf,6.99,mg/ha,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
relative rmse,rf,25.02,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
rmse,rf,158.6507,mg/ha,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
mae,rf,101.7742,mg/ha,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
r^2,rf,0.5925,,"S1,S2,landsat","soil,bands,polar,topo,vi","Scotland, United Kingdom",woodland forests,,2023,Satellite-Based Carbon Estimation in Scotland: AGB and SOC
r^2,rf,0.64,,"alos,icesat,S1,S2,smrt","backscatter,bands,canopy,texture,topo,vi","Extremadura, Spain",mediterranean arid forests,,2022,"Aboveground biomass mapping by integrating ICESat-2, SENTINEL-1, SENTINEL-2, ALOS2/PALSAR2, and topographic information in Mediterranean forests"
rmse,rf,10.98,mg/ha,"alos,icesat,S1,S2,smrt","backscatter,bands,canopy,texture,topo,vi","Extremadura, Spain",mediterranean arid forests,,2022,"Aboveground biomass mapping by integrating ICESat-2, SENTINEL-1, SENTINEL-2, ALOS2/PALSAR2, and topographic information in Mediterranean forests"
r^2,rf,0.74,,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
rmse,rf,74.493,t/ha,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
relative rmse,rf,11.02,,"S1,S2","backscatter,bands,vi","Bhitarkanika Wildlife Sanctuary, India",Mangrove forests,,2021,A novel approach for estimation of aboveground biomass of a carbon-rich mangrove site in India
r^2,rf,0.87,,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
rmse,rf,20.5,t/ha,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
relative rmse,rf,12.82,,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
r^2,rf,0.81,,S2,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,"Estimating Above-Ground Biomass in Sub-Tropical Buffer Zone Community Forests, Nepal, Using Sentinel 2 Data"
rmse,rf,25.57,t/ha,S2,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,"Estimating Above-Ground Biomass in Sub-Tropical Buffer Zone Community Forests, Nepal, Using Sentinel 2 Data"
relative rmse,rf,15.99,,S2,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,"Estimating Above-Ground Biomass in Sub-Tropical Buffer Zone Community Forests, Nepal, Using Sentinel 2 Data"
rmsd,rf,0.89,mg/ha,landsat,"bands,climate,topo","Victoria, Australia",woodland forests,,2018,A Comparison of Imputation Approaches for Estimating Forest Biomass Using Landsat Time-Series and Inventory Data
md,rf,0.41,mg/ha,landsat,"bands,climate,topo","Victoria, Australia",woodland forests,,2018,A Comparison of Imputation Approaches for Estimating Forest Biomass Using Landsat Time-Series and Inventory Data
r^2,rf,0.515,,"lidar,landsat","bands,topo,canopy",Canada,boreal forests,,2018,"Large-area mapping of Canadian boreal forest cover, height, biomass and  other structural attributes using Landsat composites and lidar plots"
rmse,rf,34.37,t/ha,"lidar,landsat","bands,topo,canopy",Canada,boreal forests,,2018,"Large-area mapping of Canadian boreal forest cover, height, biomass and  other structural attributes using Landsat composites and lidar plots"
relative rmse,rf,65,,"lidar,landsat","bands,topo,canopy",Canada,boreal forests,,2018,"Large-area mapping of Canadian boreal forest cover, height, biomass and  other structural attributes using Landsat composites and lidar plots"
bias,rf,-0.26,t/ha,"lidar,landsat","bands,topo,canopy",Canada,boreal forests,,2018,"Large-area mapping of Canadian boreal forest cover, height, biomass and  other structural attributes using Landsat composites and lidar plots"
r^2,rf,0.48,,modis,"bands,vi,bpv","Zhejiang Province, China",bamboo forests,,2018,Estimating bamboo forest aboveground biomass using EnKF-assimilated  MODIS LAI spatiotemporal data and machine learning algorithms
rmse,rf,8.06,mg/ha,modis,"bands,vi,bpv","Zhejiang Province, China",bamboo forests,,2018,Estimating bamboo forest aboveground biomass using EnKF-assimilated  MODIS LAI spatiotemporal data and machine learning algorithms
r^2,rf,0.74,,"S1,S2","polar,texture,vi","Uttar Pradesh, India",tropical forests,,2018,Aboveground biomass estimation using multi-sensor data synergy and  machine learning algorithms in a dense tropical forest
rmse,rf,72.66,mg/ha,"S1,S2","polar,texture,vi","Uttar Pradesh, India",tropical forests,,2018,Aboveground biomass estimation using multi-sensor data synergy and  machine learning algorithms in a dense tropical forest
r^2,rf,0.6,,"landsat,alos,smrt","bands,polar,texture,topo,vi","Northeast, China",temperate deciduous broadleaf forests,,2023,A Proposed Ensemble Feature Selection Method for Estimating Forest Aboveground Biomass from Multiple Satellite Data
rmse,rf,15.62,mg/ha,"landsat,alos,smrt","bands,polar,texture,topo,vi","Northeast, China",temperate deciduous broadleaf forests,,2023,A Proposed Ensemble Feature Selection Method for Estimating Forest Aboveground Biomass from Multiple Satellite Data
mae,rf,11.46,mg/ha,"landsat,alos,smrt","bands,polar,texture,topo,vi","Northeast, China",temperate deciduous broadleaf forests,,2023,A Proposed Ensemble Feature Selection Method for Estimating Forest Aboveground Biomass from Multiple Satellite Data
bias,rf,1.46,mg/ha,"landsat,alos,smrt","bands,polar,texture,topo,vi","Northeast, China",temperate deciduous broadleaf forests,,2023,A Proposed Ensemble Feature Selection Method for Estimating Forest Aboveground Biomass from Multiple Satellite Data
r^2,rf,0.83,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
rmse,rf,88.67,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
mae,rf,65.89,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
re,rf,0.63,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
r^2,rf,0.77,,S2,"bands,texture,vi","Terai Sal Forest, Nepal",tropical forests,,2023,Above ground tree biomass modeling using machine learning algorithms in western Terai Sal Forest of Nepal
rmse,rf,122.45,t/ha,S2,"bands,texture,vi","Terai Sal Forest, Nepal",tropical forests,,2023,Above ground tree biomass modeling using machine learning algorithms in western Terai Sal Forest of Nepal
r^2,rf,0.94,,"alos,lidar","backscatter,canopy,polar,texture","Uttarakhand, India",tropical forests,,2023,Aboveground Forest Biomass Estimation by the Integration of TLS and ALOS PALSAR Data Using Machine Learning
rmse,rf,59.72,t/ha,"alos,lidar","backscatter,canopy,polar,texture","Uttarakhand, India",tropical forests,,2023,Aboveground Forest Biomass Estimation by the Integration of TLS and ALOS PALSAR Data Using Machine Learning
relative rmse,rf,15.97,,"alos,lidar","backscatter,canopy,polar,texture","Uttarakhand, India",tropical forests,,2023,Aboveground Forest Biomass Estimation by the Integration of TLS and ALOS PALSAR Data Using Machine Learning
r^2,rf,0.824,,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
rmse,rf,16.853,t/ha,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
rmse,rf,30.3,mg/ha,"landsat,alos","backscatter,bands,texture,polar,topo","Zhejiang province, China",coniferous broadleaved forests,,2018,Comparative Analysis of Modeling Algorithms for Forest Aboveground Biomass Estimation in a Subtropical Region
relative rmse,rf,31.5,,"landsat,alos","backscatter,bands,texture,polar,topo","Zhejiang province, China",coniferous broadleaved forests,,2018,Comparative Analysis of Modeling Algorithms for Forest Aboveground Biomass Estimation in a Subtropical Region
r^2,rf,0.28,,"modis,alos,S2,landsat","bands,vi,bpv,polar,texture","State of Para, Brazil",rain forests,,2018,The Potential of Multisource Remote Sensing for Mapping the Biomass of a Degraded Amazonian Forest
r^2,rf,0.78,,S1,"polar,texture,backscatter,topo","Zambales, Philippines",Mangrove forests,,2018,MODELLING ABOVE GROUND BIOMASS OF MANGROVE FOREST USING SENTINEL-1 IMAGERY
r^2,rk,0.69,,S2,"bands,vi","North, Turkey",mixed forests,mixed ,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
r,rk,0.83,,S2,"bands,vi","North, Turkey",mixed forests,mixed ,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
rmse,rk,21.606,t/ha,S2,"bands,vi","North, Turkey",mixed forests,mixed - ton/ha,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
r^2,rk,0.72,,S2,vi,"North, Turkey",mixed forests,mixed ,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
r,rk,0.85,,S2,vi,"North, Turkey",mixed forests,mixed ,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
rmse,rk,19.759,t/ha,S2,vi,"North, Turkey",mixed forests,mixed - ton/ha,2022,Evaluating statistical and combine method to predict stand above‐ground biomass using remotely sensed data
r^2,sgb,0.7,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,sgb,46.79,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
bias,sgb,-0.07,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
relative rmse,sgb,26.07,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
r^2,sgb,0.35,,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
rmse,sgb,32.02,t/ha,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests -t/ha,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
relative rmse,sgb,64.72,,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
mae,sgb,27.03,t/ha,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests -t/ha,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
bias,sgb,2.48,t/ha,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
relative bias,sgb,5.03,,"S2,smrt","bands,topo,vi","Kachin State, Myanmar",dense evergreen forest,Evergreen forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
r^2,sgb,0.35,,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
rmse,sgb,41.85,t/ha,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests - t/ha,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
relative rmse,sgb,45.88,,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
mae,sgb,33,t/ha,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests - t/ha,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
bias,sgb,6.91,t/ha,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
relative bias,sgb,7.58,,"S2,smrt","bands,topo,vi","Shan State, Myanmar",deciduous forest,Deciduous forests,2022,Estimating Aboveground Biomass of Two Different Forest Types in Myanmar from Sentinel-2 Data with Machine Learning and Geostatistical Algorithms
r^2,sgb,0.0307,,"alos,landsat,icesat,smrt","backscatter,bands,climate,polar,topo,vi","Guangdong province, China",Broad leaf forest,Broad leaf forest,2018,"Annual forest aboveground biomass changes mapped using ICESat/GLAS  measurements, historical inventory data, and time-series optical and radar  imagery for Guangdong province, China"
rmse,sgb,29.63,t/ha,"alos,landsat,icesat,smrt","backscatter,bands,climate,polar,topo,vi","Guangdong province, China",Broad leaf forest,Broad leaf forest - t/ha,2018,"Annual forest aboveground biomass changes mapped using ICESat/GLAS  measurements, historical inventory data, and time-series optical and radar  imagery for Guangdong province, China"
rmse,sgb,49.84,mg/ha,"S1,S2,landsat","backscatter,bands,bpv,polar,texture,vi","Yunnan Province, China",tropical forests,pinus yunnanensis,2023,Comparing Algorithms for Estimation of Aboveground Biomass in Pinus yunnanensis
r^2,sgb,0.31,,"S1,S2,landsat","backscatter,bands,bpv,polar,texture,vi","Yunnan Province, China",tropical forests,pinus yunnanensis,2023,Comparing Algorithms for Estimation of Aboveground Biomass in Pinus yunnanensis
r^2,sgb,0.68,,"S1,S2","polar,texture,vi","Uttar Pradesh, India",tropical forests,,2018,Aboveground biomass estimation using multi-sensor data synergy and  machine learning algorithms in a dense tropical forest
rmse,sgb,83.22,mg/ha,"S1,S2","polar,texture,vi","Uttar Pradesh, India",tropical forests,,2018,Aboveground biomass estimation using multi-sensor data synergy and  machine learning algorithms in a dense tropical forest
r^2,sgb,0.77,,S2,"bands,texture,vi","Terai Sal Forest, Nepal",tropical forests,,2023,Above ground tree biomass modeling using machine learning algorithms in western Terai Sal Forest of Nepal
rmse,sgb,119.84,t/ha,S2,"bands,texture,vi","Terai Sal Forest, Nepal",tropical forests,,2023,Above ground tree biomass modeling using machine learning algorithms in western Terai Sal Forest of Nepal
r^2,svr,0.66,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,svr,50.34,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
bias,svr,1.55,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
relative rmse,svr,28.05,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
r^2,svr,0.84,,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2018 - cross validation check,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
rmse,svr,13.19,t/ha,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2018 - cross validation check - t/ha,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
r^2,svr,0.76,,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2021 - cross validation check ,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
rmse,svr,8.29,t/ha,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2021 - cross validation check - t/ha,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
r^2,svr,0.81,,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2018 ,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
rmse,svr,10.53,t/ha,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2018 - t/ha,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
r^2,svr,0.73,,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2021 ,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
rmse,svr,12.86,t/ha,"S1,S2","bands,vi","Udon Thani province, Thailand",sugarcane forests,Sugarcane in Thialand during 2021 - t/ha,2024,Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms
r^2,svr,0.8673,,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
rmse,svr,42.7929,mg/ha,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
relative rmse,svr,31.5645,,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
bias,svr,0.6062,mg/ha,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
r^2,svr,0.66,,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
rmse,svr,18.03,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
mae,svr,13.65,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
me,svr,1.6,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
r^2,svr,0.7789,,landsat,"bands,vi,texture","Yongshou County, China",plantation forests,black locust planted forests,2021,Aboveground biomass estimation of black locust planted forests with aspect variable using machine learning regression algorithms
relative rmse,svr,0.35,,eo-1,"bands,vi,bpv","Ecological Station of Águas Emendadas, Brazil",savanna forests,savannas,2021,Aboveground biomass estimates over Brazilian savannas using hyperspectral metrics and machine learning models: experiences with Hyperion/EO-5
r^2,svr,0.596,,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
rmse,svr,28.31,mg/ha,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
r^2,svr,0.343,,"S1,S2,smtr","texture,vi,bands,backscatter","West Bengal, India",tropical dry deciduous forests,,2025,Accuracy and consistency of the machine learning models for predicting carbon stock in different carbon pools using satellite‐based predictor variables
rmse,svr,34.53,mg/ha,"S1,S2,smtr","texture,vi,bands,backscatter","West Bengal, India",tropical dry deciduous forests,mg/ha,2025,Accuracy and consistency of the machine learning models for predicting carbon stock in different carbon pools using satellite‐based predictor variables
r^2,svr,0.552,,Pléiades Neo,"bands,vi,bpv",southern oman,plantation forests,,2025,Integrating Remote Sensing Techniques and Allometric Models for Sustainable Carbon Sequestration Estimation in Prosopis cineraria-Druce Trees
r^2,svr,0.7,mg/ha,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
rmse,svr,83.65,,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands - mg/ha,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
mae,svr,74.43,,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands - mg/ha,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
rmse,svr,582.71,kg/ha,"S1,S2,worldview,landsat","backscatter,vi","eastern, mongolia",forest-stepp belt,,2024,Above-ground biomass retrieval with multi-source data:  Prediction and applicability analysis in Eastern Mongolia
rcv,svr,0.82,,"S1,S2,worldview,landsat","backscatter,vi","eastern, mongolia",forest-stepp belt,,2024,Above-ground biomass retrieval with multi-source data:  Prediction and applicability analysis in Eastern Mongolia
r^2,svr,0.67,,"S1,S2,worldview,landsat","backscatter,vi","eastern, mongolia",forest-stepp belt,,2024,Above-ground biomass retrieval with multi-source data:  Prediction and applicability analysis in Eastern Mongolia
bias,svr,39.21,,"S1,S2,worldview,landsat","backscatter,vi","eastern, mongolia",forest-stepp belt,,2024,Above-ground biomass retrieval with multi-source data:  Prediction and applicability analysis in Eastern Mongolia
relative rmse,svr,44.41,,"S1,S2,worldview,landsat","backscatter,vi","eastern, mongolia",forest-stepp belt,,2024,Above-ground biomass retrieval with multi-source data:  Prediction and applicability analysis in Eastern Mongolia
r^2,svr,0.17,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,svr,1.19,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,svr,71.04,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,svr,0.67,m3/hm2,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
rmse,svr,54.64,m3/hm2,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
mae,svr,32.63,,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
mse,svr,739.75,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
